[2025-10-09T05:29:49.889108Z] Actor Renovación iniciado. Suscrito a tópico: Renovacion
[2025-10-09T05:30:33.715783Z] RENOVACION PROCESADA | Usuario=usuario02 | Libro=ISBN456 | RecibidoGC=2025-10-09T05:30:33.714689Z | Publicado=2025-10-09T05:30:33.714782Z | NuevaFecha=2025-10-23T05:30:33.715161Z | Procesado=2025-10-09T05:30:33.715191Z
[2025-10-09T05:36:57.805528Z] RENOVACION PROCESADA | Usuario=95 | Libro=BOOK-143 | RecibidoGC=2025-10-09T05:36:57.804486Z | Publicado=2025-10-09T05:36:57.804649Z | NuevaFecha=2025-10-23T05:36:57.805127Z | Procesado=2025-10-09T05:36:57.805160Z
[2025-10-09T05:36:57.806795Z] RENOVACION PROCESADA | Usuario=95 | Libro=BOOK-693 | RecibidoGC=2025-10-09T05:36:57.805948Z | Publicado=2025-10-09T05:36:57.806132Z | NuevaFecha=2025-10-23T05:36:57.806475Z | Procesado=2025-10-09T05:36:57.806501Z
[2025-10-09T05:36:57.810963Z] RENOVACION PROCESADA | Usuario=30 | Libro=BOOK-224 | RecibidoGC=2025-10-09T05:36:57.810106Z | Publicado=2025-10-09T05:36:57.810291Z | NuevaFecha=2025-10-23T05:36:57.810682Z | Procesado=2025-10-09T05:36:57.810706Z
[2025-10-09T05:36:57.823641Z] RENOVACION PROCESADA | Usuario=28 | Libro=BOOK-160 | RecibidoGC=2025-10-09T05:36:57.822844Z | Publicado=2025-10-09T05:36:57.823021Z | NuevaFecha=2025-10-23T05:36:57.823369Z | Procesado=2025-10-09T05:36:57.823394Z
[2025-10-09T05:36:57.826476Z] RENOVACION PROCESADA | Usuario=13 | Libro=BOOK-390 | RecibidoGC=2025-10-09T05:36:57.825890Z | Publicado=2025-10-09T05:36:57.826043Z | NuevaFecha=2025-10-23T05:36:57.826273Z | Procesado=2025-10-09T05:36:57.826291Z
[2025-10-09T05:36:57.827723Z] RENOVACION PROCESADA | Usuario=45 | Libro=BOOK-868 | RecibidoGC=2025-10-09T05:36:57.827385Z | Publicado=2025-10-09T05:36:57.827443Z | NuevaFecha=2025-10-23T05:36:57.827617Z | Procesado=2025-10-09T05:36:57.827627Z
[2025-10-09T05:36:57.832393Z] RENOVACION PROCESADA | Usuario=49 | Libro=BOOK-997 | RecibidoGC=2025-10-09T05:36:57.832035Z | Publicado=2025-10-09T05:36:57.832094Z | NuevaFecha=2025-10-23T05:36:57.832298Z | Procesado=2025-10-09T05:36:57.832307Z
[2025-10-09T05:36:57.833901Z] RENOVACION PROCESADA | Usuario=38 | Libro=BOOK-566 | RecibidoGC=2025-10-09T05:36:57.833600Z | Publicado=2025-10-09T05:36:57.833652Z | NuevaFecha=2025-10-23T05:36:57.833823Z | Procesado=2025-10-09T05:36:57.833830Z
[2025-10-09T05:36:57.837804Z] RENOVACION PROCESADA | Usuario=85 | Libro=BOOK-47 | RecibidoGC=2025-10-09T05:36:57.837456Z | Publicado=2025-10-09T05:36:57.837505Z | NuevaFecha=2025-10-23T05:36:57.837705Z | Procesado=2025-10-09T05:36:57.837713Z
[2025-10-09T06:22:33.481675Z] Actor Renovación detenido correctamente
[2025-10-09T06:28:36.207203Z] Actor Renovación iniciado. Suscrito a tópico: Renovacion
[2025-10-09T06:36:34.708666Z] RENOVACION PROCESADA | Usuario=12 | Libro=BOOK-275 | RecibidoGC=2025-10-09T06:36:34.707280Z | Publicado=2025-10-09T06:36:34.707643Z | NuevaFecha=2025-10-23T06:36:34.708251Z | Procesado=2025-10-09T06:36:34.708331Z
[2025-10-09T06:36:34.711282Z] RENOVACION PROCESADA | Usuario=5 | Libro=BOOK-859 | RecibidoGC=2025-10-09T06:36:34.710483Z | Publicado=2025-10-09T06:36:34.710613Z | NuevaFecha=2025-10-23T06:36:34.710983Z | Procesado=2025-10-09T06:36:34.711011Z
[2025-10-09T06:36:34.712472Z] RENOVACION PROCESADA | Usuario=72 | Libro=BOOK-550 | RecibidoGC=2025-10-09T06:36:34.711713Z | Publicado=2025-10-09T06:36:34.711829Z | NuevaFecha=2025-10-23T06:36:34.712137Z | Procesado=2025-10-09T06:36:34.712157Z
[2025-10-09T06:36:34.715182Z] RENOVACION PROCESADA | Usuario=7 | Libro=BOOK-349 | RecibidoGC=2025-10-09T06:36:34.713929Z | Publicado=2025-10-09T06:36:34.714111Z | NuevaFecha=2025-10-23T06:36:34.714655Z | Procesado=2025-10-09T06:36:34.714681Z
[2025-10-09T06:36:34.716313Z] RENOVACION PROCESADA | Usuario=44 | Libro=BOOK-139 | RecibidoGC=2025-10-09T06:36:34.715505Z | Publicado=2025-10-09T06:36:34.715660Z | NuevaFecha=2025-10-23T06:36:34.716049Z | Procesado=2025-10-09T06:36:34.716073Z
[2025-10-09T06:36:34.718919Z] RENOVACION PROCESADA | Usuario=1 | Libro=BOOK-168 | RecibidoGC=2025-10-09T06:36:34.718056Z | Publicado=2025-10-09T06:36:34.718173Z | NuevaFecha=2025-10-23T06:36:34.718698Z | Procesado=2025-10-09T06:36:34.718718Z
[2025-10-09T06:36:34.720797Z] RENOVACION PROCESADA | Usuario=12 | Libro=BOOK-793 | RecibidoGC=2025-10-09T06:36:34.719644Z | Publicado=2025-10-09T06:36:34.719735Z | NuevaFecha=2025-10-23T06:36:34.720601Z | Procesado=2025-10-09T06:36:34.720620Z
[2025-11-14T02:08:51.036463Z] Actor Renovación iniciado. Suscrito a tópico: Renovacion
[2025-11-14T05:18:01.416386Z] Actor Renovación iniciado. Suscrito a tópico: Renovacion
[2025-11-14T06:06:17.927575Z] Actor Renovación iniciado. Suscrito a tópico: Renovacion
[2025-11-14T06:07:24.734725Z] RENOVACION PROCESADA | Usuario=79 | Libro=BOOK-693 | RecibidoGC=2025-11-14T06:07:24.717104Z | Publicado=2025-11-14T06:07:24.717272Z | NuevaFecha=2025-11-28T06:07:24.717875Z | Procesado=2025-11-14T06:07:24.734522Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.745851Z] RENOVACION PROCESADA | Usuario=79 | Libro=BOOK-693 | RecibidoGC=2025-11-14T06:07:24.717104Z | Publicado=2025-11-14T06:07:24.717272Z | NuevaFecha=2025-11-28T06:07:24.717941Z | Procesado=2025-11-14T06:07:24.745765Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.750893Z] RENOVACION PROCESADA | Usuario=79 | Libro=BOOK-693 | RecibidoGC=2025-11-14T06:07:24.717104Z | Publicado=2025-11-14T06:07:24.717272Z | NuevaFecha=2025-11-28T06:07:24.718495Z | Procesado=2025-11-14T06:07:24.750790Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.781781Z] RENOVACION PROCESADA | Usuario=71 | Libro=BOOK-174 | RecibidoGC=2025-11-14T06:07:24.720535Z | Publicado=2025-11-14T06:07:24.720701Z | NuevaFecha=2025-11-28T06:07:24.735152Z | Procesado=2025-11-14T06:07:24.781712Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.793467Z] RENOVACION PROCESADA | Usuario=71 | Libro=BOOK-174 | RecibidoGC=2025-11-14T06:07:24.720535Z | Publicado=2025-11-14T06:07:24.720701Z | NuevaFecha=2025-11-28T06:07:24.746316Z | Procesado=2025-11-14T06:07:24.793355Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.802806Z] RENOVACION PROCESADA | Usuario=71 | Libro=BOOK-174 | RecibidoGC=2025-11-14T06:07:24.720535Z | Publicado=2025-11-14T06:07:24.720701Z | NuevaFecha=2025-11-28T06:07:24.751124Z | Procesado=2025-11-14T06:07:24.802142Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.820274Z] RENOVACION PROCESADA | Usuario=38 | Libro=BOOK-394 | RecibidoGC=2025-11-14T06:07:24.730183Z | Publicado=2025-11-14T06:07:24.730385Z | NuevaFecha=2025-11-28T06:07:24.781891Z | Procesado=2025-11-14T06:07:24.819707Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.829699Z] RENOVACION PROCESADA | Usuario=38 | Libro=BOOK-394 | RecibidoGC=2025-11-14T06:07:24.730183Z | Publicado=2025-11-14T06:07:24.730385Z | NuevaFecha=2025-11-28T06:07:24.793595Z | Procesado=2025-11-14T06:07:24.829630Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.834071Z] RENOVACION PROCESADA | Usuario=38 | Libro=BOOK-394 | RecibidoGC=2025-11-14T06:07:24.730183Z | Publicado=2025-11-14T06:07:24.730385Z | NuevaFecha=2025-11-28T06:07:24.802912Z | Procesado=2025-11-14T06:07:24.833997Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.857248Z] RENOVACION PROCESADA | Usuario=79 | Libro=BOOK-693 | RecibidoGC=2025-11-14T06:07:24.743430Z | Publicado=2025-11-14T06:07:24.743507Z | NuevaFecha=2025-11-28T06:07:24.820391Z | Procesado=2025-11-14T06:07:24.857178Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.867414Z] RENOVACION PROCESADA | Usuario=79 | Libro=BOOK-693 | RecibidoGC=2025-11-14T06:07:24.743430Z | Publicado=2025-11-14T06:07:24.743507Z | NuevaFecha=2025-11-28T06:07:24.830104Z | Procesado=2025-11-14T06:07:24.867345Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.872441Z] RENOVACION PROCESADA | Usuario=79 | Libro=BOOK-693 | RecibidoGC=2025-11-14T06:07:24.743430Z | Publicado=2025-11-14T06:07:24.743507Z | NuevaFecha=2025-11-28T06:07:24.834202Z | Procesado=2025-11-14T06:07:24.872367Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.887077Z] RENOVACION PROCESADA | Usuario=71 | Libro=BOOK-174 | RecibidoGC=2025-11-14T06:07:24.749530Z | Publicado=2025-11-14T06:07:24.749609Z | NuevaFecha=2025-11-28T06:07:24.857361Z | Procesado=2025-11-14T06:07:24.886994Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.900009Z] RENOVACION PROCESADA | Usuario=71 | Libro=BOOK-174 | RecibidoGC=2025-11-14T06:07:24.749530Z | Publicado=2025-11-14T06:07:24.749609Z | NuevaFecha=2025-11-28T06:07:24.867651Z | Procesado=2025-11-14T06:07:24.899923Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.906817Z] RENOVACION PROCESADA | Usuario=71 | Libro=BOOK-174 | RecibidoGC=2025-11-14T06:07:24.749530Z | Publicado=2025-11-14T06:07:24.749609Z | NuevaFecha=2025-11-28T06:07:24.872552Z | Procesado=2025-11-14T06:07:24.906730Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.926899Z] RENOVACION PROCESADA | Usuario=38 | Libro=BOOK-394 | RecibidoGC=2025-11-14T06:07:24.753279Z | Publicado=2025-11-14T06:07:24.753392Z | NuevaFecha=2025-11-28T06:07:24.887194Z | Procesado=2025-11-14T06:07:24.926745Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.940425Z] RENOVACION PROCESADA | Usuario=38 | Libro=BOOK-394 | RecibidoGC=2025-11-14T06:07:24.753279Z | Publicado=2025-11-14T06:07:24.753392Z | NuevaFecha=2025-11-28T06:07:24.900153Z | Procesado=2025-11-14T06:07:24.940347Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
